iter	Passed	Remaining
0	2	247
1	4	199
2	5	185
3	7	168
4	8	164
5	10	161
6	11	157
7	13	156
8	15	152
9	16	149
10	18	148
11	19	145
12	21	143
13	22	141
14	24	138
15	25	136
16	27	134
17	28	132
18	30	129
19	31	127
20	33	125
21	34	123
22	36	121
23	37	120
24	39	117
25	40	116
26	42	115
27	43	113
28	45	111
29	47	110
30	49	109
31	50	107
32	52	105
33	53	104
34	55	102
35	56	101
36	58	99
37	60	98
38	61	96
39	63	95
40	64	93
41	65	90
42	67	88
43	68	87
44	70	85
45	71	84
46	73	82
47	74	80
48	76	79
49	77	77
50	79	76
51	81	75
52	83	73
53	84	72
54	85	70
55	87	68
56	88	67
57	90	65
58	92	64
59	93	62
60	95	60
61	96	59
62	98	57
63	99	56
64	101	54
65	102	52
66	104	51
67	105	49
68	107	48
69	108	46
70	109	44
71	111	43
72	112	41
73	114	40
74	116	38
75	117	37
76	119	35
77	120	34
78	122	32
79	124	31
80	125	29
81	127	27
82	128	26
83	130	24
84	131	23
85	133	21
86	134	20
87	136	18
88	137	17
89	139	15
90	140	13
91	142	12
92	144	10
93	146	9
94	147	7
95	149	6
96	150	4
97	152	3
98	153	1
99	155	0
